user_id,user_age,has_children,num_trips,traveler_type,perk,group_color
531931,40,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
229330,48,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
536035,29,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
477730,46,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
513030,39,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
570821,42,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
517076,39,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
585248,49,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
539267,43,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
611954,44,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
577541,35,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
524607,37,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
547266,56,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
532119,53,True,6,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
545879,27,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
630176,53,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
517324,70,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
539953,36,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
565601,51,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
531109,50,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
555478,30,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
521708,48,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
629952,46,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
520265,43,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
512831,45,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
527346,47,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
585492,46,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
515516,35,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
553985,37,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
523395,33,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
528281,53,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
548872,21,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
454661,46,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
499461,52,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
512193,38,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
510365,46,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
556019,58,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
469824,52,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
494590,29,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
559441,67,False,1,Senior Traveler,"Comfortable itineraries, early check-in, tour discounts",🟪
522276,48,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
651491,43,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
539493,18,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
529602,46,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
550459,44,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
559758,49,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
564596,33,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
494985,49,False,6,Business Traveler,"Fast check-in, Wi-Fi, priority boarding",🟦
512443,39,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
474278,25,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
536099,35,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
561846,41,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
499366,49,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
584531,45,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
513714,24,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
220725,41,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
510067,49,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
549777,30,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
518041,20,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
508912,44,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
606635,46,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
526445,50,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
566749,22,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
515409,45,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
516556,38,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
501794,44,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
519853,43,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
552653,60,False,3,Senior Traveler,"Comfortable itineraries, early check-in, tour discounts",🟪
524080,36,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
592372,18,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
525176,71,False,1,Senior Traveler,"Comfortable itineraries, early check-in, tour discounts",🟪
523771,36,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
524880,42,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
512024,33,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
584787,66,False,2,Senior Traveler,"Comfortable itineraries, early check-in, tour discounts",🟪
528455,48,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
557134,57,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
530797,26,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
558506,56,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
563165,55,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
560747,43,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
581858,48,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
499379,66,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
540654,50,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
578396,56,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
548990,33,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
585965,49,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
356046,35,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
563343,67,False,1,Senior Traveler,"Comfortable itineraries, early check-in, tour discounts",🟪
520902,40,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
513103,33,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
525056,38,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
464782,48,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
516933,18,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
377069,69,False,2,Senior Traveler,"Comfortable itineraries, early check-in, tour discounts",🟪
581409,39,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
579065,51,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
526239,38,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
549623,39,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
580622,68,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
543723,59,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
672112,51,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
590829,44,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
521065,45,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
647674,37,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
524012,43,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
552558,53,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
567518,56,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
669356,46,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
629803,41,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
581901,54,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
528186,44,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
513625,29,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
216796,23,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
537413,49,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
630738,44,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
528164,48,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
469767,49,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
539307,39,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
636520,52,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
534254,24,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
528909,18,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
563507,39,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
559176,65,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
514675,52,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
562010,42,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
535003,58,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
523335,30,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
519897,19,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
506186,26,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
573584,39,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
573704,48,True,5,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
669140,64,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
542153,49,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
565377,43,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
557794,47,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
555773,23,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
637086,46,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
585310,36,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
463867,32,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥
564219,43,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
531989,55,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
535497,35,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
537212,22,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
547862,48,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
515735,64,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
555484,40,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
741902,48,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
511666,51,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
564962,54,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
551729,18,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥
587459,49,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
523735,56,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
563012,25,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
599909,29,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
522402,45,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
667916,48,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
531253,52,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
585522,68,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
520182,44,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
575433,57,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧
507759,50,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩
520882,19,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥
