"user_id","num_sessions","total_page_clicks","avg_session_duration_min","num_flights_booked","num_hotels_booked","avg_flight_price","avg_hotel_price_per_night","avg_trip_nights","avg_total_discount","user_age","customer_age_months"
"531931","8","75","1.18","2","2","944.15","135.50","2.5","","40","3"
"229330","8","129","1.99","4","4","387.03","209.25","1.5","","48","9"
"536035","8","111","1.71","2","2","488.34","145.50","1.0","0.45","29","3"
"477730","8","185","2.86","5","5","697.14","273.80","3.6","","46","4"
"513030","8","98","1.53","3","3","202.28","162.33","4.0","","39","3"
"570821","8","95","1.47","3","3","482.62","119.33","2.7","","42","2"
"517076","8","210","3.28","2","5","459.09","154.00","6.8","0.20","39","3"
"585248","8","88","1.36","1","1","394.55","121.00","1.0","","49","2"
"539267","8","93","1.46","2","2","293.88","99.50","0.5","","43","3"
"611954","8","134","2.09","4","4","187.13","178.25","1.8","0.20","44","1"
"577541","8","411","18.26","4","3","152.73","126.00","2.5","0.40","35","2"
"524607","8","129","2.01","5","3","654.43","260.33","2.7","","37","3"
"547266","8","120","1.84","2","3","490.98","218.67","2.0","","56","2"
"532119","8","155","2.41","6","5","555.76","176.00","3.8","","53","3"
"545879","8","176","9.26","4","4","902.81","187.25","9.3","0.10","27","2"
"630176","8","190","2.95","1","1","597.57","108.00","0.0","","53","1"
"517324","8","164","2.54","1","0","472.44","","","","70","3"
"539953","8","103","1.58","2","2","296.70","166.00","2.5","","36","3"
"565601","8","78","1.22","0","0","","","","","51","2"
"531109","8","137","2.10","4","4","240.48","95.25","1.3","","50","3"
"555478","8","140","2.18","3","3","616.45","142.33","4.3","","30","2"
"521708","8","175","2.71","4","3","285.33","108.67","4.0","","48","3"
"629952","8","230","3.58","3","3","404.79","277.67","1.7","","46","1"
"520265","8","119","1.84","4","5","581.52","136.40","5.0","0.25","43","3"
"512831","8","114","1.75","3","2","760.11","289.50","2.0","0.35","45","3"
"527346","8","172","2.70","3","2","893.14","102.50","1.5","","47","3"
"585492","8","111","1.73","1","1","682.21","60.00","2.0","","46","2"
"515516","8","127","1.96","0","0","","","","","35","3"
"553985","8","420","18.43","4","4","336.16","55.75","2.5","0.20","37","2"
"523395","8","174","2.64","3","3","442.26","300.33","2.7","","33","3"
"528281","8","118","1.85","3","5","634.63","133.40","4.0","","53","3"
"548872","8","162","2.53","0","1","","166.00","4.0","0.20","21","2"
"454661","8","127","1.98","3","3","356.58","213.00","1.3","","46","4"
"499461","8","130","2.01","2","2","162.73","225.50","2.0","","52","3"
"512193","8","65","1.02","1","1","354.05","42.00","8.0","","38","3"
"510365","8","102","1.59","4","4","537.26","195.00","4.3","","46","3"
"556019","9","126","1.76","3","3","267.28","125.67","2.7","0.15","58","2"
"469824","8","146","2.25","2","3","95.13","87.00","5.0","0.15","52","4"
"494590","8","120","1.88","3","4","204.58","259.75","3.8","0.35","29","3"
"559441","9","118","1.61","1","1","165.17","151.00","3.0","","67","2"
"522276","8","85","1.33","2","2","1526.89","326.50","1.5","","48","3"
"651491","8","394","17.99","4","6","174.15","111.33","4.8","0.10","44","1"
"539493","9","140","1.94","0","0","","","","","18","3"
"529602","8","371","17.67","4","3","4418.06","215.50","6.5","","46","3"
"550459","9","147","2.03","4","3","229.37","96.67","4.0","","44","2"
"559758","8","88","1.39","0","1","","143.00","6.0","","49","2"
"564596","8","124","1.93","4","4","652.91","206.00","3.5","","33","2"
"494985","8","176","2.74","6","5","332.29","214.80","4.0","","49","3"
"512443","8","97","1.50","2","2","170.47","194.00","1.5","","40","3"
"474278","8","66","1.04","0","0","","","","0.25","25","4"
"536099","8","98","1.51","2","4","179.76","160.50","5.3","","35","3"
"561846","8","348","17.29","4","4","281.07","101.00","2.3","","41","2"
"499366","8","145","2.25","4","3","655.46","213.33","2.3","","49","3"
"584531","8","113","1.75","2","2","227.68","401.00","2.5","","45","2"
"513714","8","66","1.04","1","0","248.43","","","","24","3"
